model,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year
Unbabel/XCOMET-XL,en-de,0.4154896085405361,7558,0.9538968084984355,154.01,51.34,news,2022
Unbabel/XCOMET-XL,en-ru,0.44786971161600964,7553,0.8937708686325285,150.25,56.34,news,2022
Unbabel/XCOMET-XL,zh-en,0.3995764535232364,8169,0.7928707663572268,315.36,53.15,news,2022
Unbabel/XCOMET-XXL,en-de,0.43554496810823634,22388,0.9581827581723531,483.41,165.22,news,2022
Unbabel/XCOMET-XXL,en-ru,0.4706661406056156,22377,0.881970826321178,427.23,171.4,news,2022
Unbabel/XCOMET-XXL,zh-en,0.39285888657718904,22041,0.8006641289936041,1010.93,160.51,news,2022
