model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-0,0.387283684440113,22209,0.7057434364344722,37.33,142.27,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-1,0.387283684440113,22209,0.7057434364344722,43.66,147.91,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-2,0.387283684440113,22209,0.7057434364344722,43.09,130.68,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-0,0.40517913505002723,17174,0.8391034146714683,27.1,137.86,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-1,0.42289226150086207,17174,0.6836570924361342,18.31,127.05,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-2,0.41478198931525473,17174,0.8308820085572745,27.24,123.37,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-0,0.3893785568666809,15496,0.8437608006593998,24.19,122.19,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-1,0.3959192652990484,15496,0.8333727177312721,24.55,124.07,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-2,0.38722391690873625,15496,0.8331789949348936,26.39,130.9,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-0,0.34002246410724424,13818,0.8142376846531976,13.56,126.67,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-1,0.3364158967704261,13818,0.8081637181463578,22.75,124.66,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-2,0.3342548820369291,13818,0.8126379760763545,22.61,130.69,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-0,0.39931397032554133,20531,0.7151927473368468,21.91,127.83,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-1,0.39877137700958826,20531,0.7151298137649599,35.17,132.82,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-2,0.39877137700958826,20531,0.7151298137649599,35.38,126.42,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-0,0.4180304193859556,18853,0.7181050632402468,22.67,137.43,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-1,0.4178998426036138,18853,0.7180967568889145,35.51,128.19,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-2,0.4178998426036138,18853,0.7180967568889145,34.64,137.58,news,2022,no_reference
